table_type,table_title,table_code,sheet,csv_file,table_url
Journey times to key services (JTS01),Average minimum travel time to reach the nearest key services by mode of travel: England,jts0101,JTS0101,jts0101-JTS0101.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030768/jts0101.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas: England",jts0102,2014,jts0102-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030769/jts0102.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas: England",jts0102,2015,jts0102-2015.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030769/jts0102.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas: England",jts0102,2016,jts0102-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030769/jts0102.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas: England",jts0102,2017,jts0102-2017.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030769/jts0102.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by mode of travel, rural and urban areas: England",jts0102,2019,jts0102-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030769/jts0102.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",jts0103,2014,jts0103-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",jts0103,2015,jts0103-2015.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",jts0103,2016,jts0103-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",jts0103,2017,jts0103-2017.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",jts0103,2019,jts0103-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by public transport or walking, region: England",jts0103,Chart_Data,jts0103-Chart_Data.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030770/jts0103.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by mode of travel, local authority: England",jts0104,2014,jts0104-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030771/jts0104.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by mode of travel, local authority: England",jts0104,2015,jts0104-2015.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030771/jts0104.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by mode of travel, local authority: England",jts0104,2016,jts0104-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030771/jts0104.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by mode of travel, local authority: England",jts0104,2017,jts0104-2017.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030771/jts0104.ods
Journey times to key services (JTS01),"Average minimum travel time to reach the nearest key services by mode of travel, local authority: England",jts0104,2019,jts0104-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030771/jts0104.ods
User access to key services by journey time (JTS02),Service users with access to key services within selected journey times by mode of travel: England,jts0201,2014,jts0201-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030772/jts0201.ods
User access to key services by journey time (JTS02),Service users with access to key services within selected journey times by mode of travel: England,jts0201,2015_REVISED,jts0201-2015_REVISED.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030772/jts0201.ods
User access to key services by journey time (JTS02),Service users with access to key services within selected journey times by mode of travel: England,jts0201,2016,jts0201-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030772/jts0201.ods
User access to key services by journey time (JTS02),Service users with access to key services within selected journey times by mode of travel: England,jts0201,2017,jts0201-2017.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030772/jts0201.ods
User access to key services by journey time (JTS02),Service users with access to key services within selected journey times by mode of travel: England,jts0201,2019,jts0201-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030772/jts0201.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by mode of travel, rural and urban areas: England",jts0202,2014,jts0202-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030773/jts0202.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by mode of travel, rural and urban areas: England",jts0202,2015_REVISED,jts0202-2015_REVISED.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030773/jts0202.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by mode of travel, rural and urban areas: England",jts0202,2016,jts0202-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030773/jts0202.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by mode of travel, rural and urban areas: England",jts0202,2017,jts0202-2017.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030773/jts0202.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by mode of travel, rural and urban areas: England",jts0202,2019,jts0202-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030773/jts0202.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by public transport or walking, in regions: England",jts0203,2014,jts0203-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030774/jts0203.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by public transport or walking, in regions: England",jts0203,2015_REVISED,jts0203-2015_REVISED.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030774/jts0203.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by public transport or walking, in regions: England",jts0203,2016,jts0203-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030774/jts0203.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by public transport or walking, in regions: England",jts0203,2017,jts0203-2017.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030774/jts0203.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by public transport or walking, in regions: England",jts0203,2019,jts0203-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030774/jts0203.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by cycle, in regions: England",jts0204,2014,jts0204-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030775/jts0204.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by cycle, in regions: England",jts0204,2015_REVISED,jts0204-2015_REVISED.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030775/jts0204.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by cycle, in regions: England",jts0204,2016,jts0204-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030775/jts0204.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by cycle, in regions: England",jts0204,2017,jts0204-2017.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030775/jts0204.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by cycle, in regions: England",jts0204,2019,jts0204-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030775/jts0204.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by car, in regions: England",jts0205,2014,jts0205-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030776/jts0205.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by car, in regions: England",jts0205,2015_REVISED,jts0205-2015_REVISED.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030776/jts0205.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by car, in regions: England",jts0205,2016,jts0205-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030776/jts0205.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by car, in regions: England",jts0205,2017,jts0205-2017.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030776/jts0205.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by car, in regions: England",jts0205,2019,jts0205-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030776/jts0205.ods
User access to key services by journey time (JTS02),"Service users with access to key services within selected journey times by walking, regions: England",jts0206,2019,jts0206-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030777/jts0206.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, mode of travel: England",jts0301,2014,jts0301-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030779/jts0301.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, mode of travel: England",jts0301,2015,jts0301-2015.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030779/jts0301.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, mode of travel: England",jts0301,2016,jts0301-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030779/jts0301.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, mode of travel: England",jts0301,2017,jts0301-2017.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030779/jts0301.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, mode of travel: England",jts0301,2019,jts0301-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030779/jts0301.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, mode of travel, rural and urban areas: England",jts0302,2014,jts0302-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030780/jts0302.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, mode of travel, rural and urban areas: England",jts0302,2015,jts0302-2015.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030780/jts0302.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, mode of travel, rural and urban areas: England",jts0302,2016,jts0302-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030780/jts0302.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, mode of travel, rural and urban areas: England",jts0302,2017,jts0302-2017.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030780/jts0302.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, mode of travel, rural and urban areas: England",jts0302,2019,jts0302-2019.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030780/jts0302.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, public transport or walking, in regions: England",jts0303,2014,jts0303-2014.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030781/jts0303.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, public transport or walking, in regions: England",jts0303,2015,jts0303-2015.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030781/jts0303.ods
Number of key services by journey time (JTS03),"Number of sites available within selected journey times by key services, public transport or walking, in regions: England",jts0303,2016,jts0303-2016.csv,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1030781/jts0303.ods
